LogIntensity,ResolutionRange
4.167314,12.64-9.89
2.386279,12.64-9.89
3.479984,12.64-9.89
7.852444,12.64-9.89
7.157297,12.64-9.89
5.869870,12.64-9.89
6.468389,12.64-9.89
5.217245,12.64-9.89
4.166945,12.64-9.89
6.599749,12.64-9.89
5.755306,12.64-9.89
4.697332,12.64-9.89
6.109902,12.64-9.89
4.070640,12.64-9.89
6.215697,12.64-9.89
3.159822,12.64-9.89
6.181991,12.64-9.89
4.923704,12.64-9.89
7.738289,12.64-9.89
7.120872,12.64-9.89
6.173266,12.64-9.89
4.882763,12.64-9.89
6.389724,12.64-9.89
4.688124,12.64-9.89
6.331573,12.64-9.89
0.267599,12.64-9.89
6.047215,12.64-9.89
4.698696,12.64-9.89
4.953537,12.64-9.89
5.143688,12.64-9.89
4.365260,12.64-9.89
5.582182,12.64-9.89
3.731722,12.64-9.89
3.552536,12.64-9.89
4.352015,12.64-9.89
2.735811,12.64-9.89
5.776418,12.64-9.89
7.345703,12.64-9.89
3.528137,12.64-9.89
3.615705,12.64-9.89
7.302689,12.64-9.89
4.151647,12.64-9.89
3.229481,12.64-9.89
4.682012,12.64-9.89
5.111705,12.64-9.89
5.368921,12.64-9.89
6.204251,12.64-9.89
6.173266,12.64-9.89
5.890838,12.64-9.89
7.675584,12.64-9.89
6.186244,12.64-9.89
4.034832,12.64-9.89
5.496615,12.64-9.89
5.491928,12.64-9.89
4.025175,12.64-9.89
6.778033,12.64-9.89
2.873095,12.64-9.89
4.618077,12.64-9.89
3.750974,12.64-9.89
3.385513,12.64-9.89
2.971575,12.64-9.89
7.285830,12.64-9.89
4.066386,12.64-9.89
2.466993,12.64-9.89
5.593182,12.64-9.89
4.453807,12.64-9.89
5.634762,12.64-9.89
3.717044,12.64-9.89
3.898168,12.64-9.89
5.637970,12.64-9.89
4.923704,12.64-9.89
6.343270,12.64-9.89
3.502211,12.64-9.89
5.302626,12.64-9.89
5.302626,12.64-9.89
3.769569,12.64-9.89
4.071577,12.64-9.89
5.731251,12.64-9.89
2.772942,12.64-9.89
5.314109,12.64-9.89
3.490966,12.64-9.89
5.128162,12.64-9.89
4.634064,12.64-9.89
2.238242,12.64-9.89
5.199606,12.64-9.89
6.910731,12.64-9.89
6.480236,12.64-9.89
6.331573,12.64-9.89
5.517782,9.89-8.50
3.995167,9.89-8.50
7.765628,9.89-8.50
5.537336,9.89-8.50
3.650617,9.89-8.50
6.389416,9.89-8.50
5.520361,9.89-8.50
3.988164,9.89-8.50
5.546017,9.89-8.50
3.376630,9.89-8.50
6.470494,9.89-8.50
4.398265,9.89-8.50
5.603035,9.89-8.50
6.018995,9.89-8.50
6.018995,9.89-8.50
